headline,time_stamp (yyyymmdd hhmmss)
CSX Q1 revenue $3.0 bln'; FactSet consensus 3.0 bln,20150414 200658
CSX Corp.'s stock rallies 2.4% in after-hours trade after Q1 results,20150414 200639
CSX's new share buyback program to be completed over next 24 months,20150414 200610
CSX Corp. sets new $2 bln share buyback program,20150414 200535
CSX Corp. raises quarterly dividend 13% to 18 cents a share,20150414 200508
CSX Q1 EPS 45 cents vs 40 cents; FactSet consensus 44 cents,20150414 200504
Shares of Intel Corp. up 1.6% in after hours,20150414 200409
Intel Corp. Q1 EPS in line with consensus,20150414 200409
Intel Corp. Q1 EPS 41 cents,20150414 200409
S&P 500 up 0.2%; Nasdaq Composite falls 0.2%,20150414 200100
