headline,time_stamp (yyyymmdd hhmmss)
CSX Q1 revenue $3.0 bln'; FactSet consensus 3.0 bln,20150414 200658
CSX Corp.'s stock rallies 2.4% in after-hours trade after Q1 results,20150414 200639
CSX's new share buyback program to be completed over next 24 months,20150414 200610
CSX Corp. sets new $2 bln share buyback program,20150414 200535
CSX Corp. raises quarterly dividend 13% to 18 cents a share,20150414 200508
CSX Q1 EPS 45 cents vs 40 cents; FactSet consensus 44 cents,20150414 200504
Shares of Intel Corp. up 1.6% in after hours,20150414 200409
Intel Corp. Q1 EPS in line with consensus,20150414 200409
Intel Corp. Q1 EPS 41 cents,20150414 200409
S&P 500 up 0.2%; Nasdaq Composite falls 0.2%,20150414 200100
Crude oil trades 1.5% higher at $54.10 after IEA report,20150415 080412
Nokia rises 4.2% after $16.6 billion deal to take over Alcatel-Lucent ,20150415 071040
Alcatel-Lucent shares fall 7.4% after $16.6 billion buyout by Nokia ,20150415 070719
Intel price target lifted to $40 from $38 at RBC,20150415 070607
Intel lifted to outperform from sector perform at RBC,20150415 070607
"France's CAC opens 0.2% higher at 5,230.80 ",20150415 070403
"Germany's DAX opens 0.1% higher at 12,242.96",20150415 070231
"U.K's FTSE 100 opens flat at 7,075.86",20150415 070206
Stoxx Europe 600 opens 0.2% higher at 412.37,20150415 070128
"Hong Kong Hang Seng Index loses gains, now flat",20150415 032120
"Alcatel-Lucent shares drop 12%, falling further during morning trade ",20150415 091029
Crude oil trades 1.5% higher at $54.10 after IEA report,20150415 080412
Nokia rises 4.2% after $16.6 billion deal to take over Alcatel-Lucent ,20150415 071040
Alcatel-Lucent shares fall 7.4% after $16.6 billion buyout by Nokia ,20150415 070719
Intel price target lifted to $40 from $38 at RBC,20150415 070607
Intel lifted to outperform from sector perform at RBC,20150415 070607
"France's CAC opens 0.2% higher at 5,230.80 ",20150415 070403
"Germany's DAX opens 0.1% higher at 12,242.96",20150415 070231
"U.K's FTSE 100 opens flat at 7,075.86",20150415 070206
Stoxx Europe 600 opens 0.2% higher at 412.37,20150415 070128
EU alleges Google favors its own comparison-shopping product in search results ,20150415 101427
EU opens separate antitrust investigation into Google's Android system,20150415 101218
"EU alleges Google ""abused its dominant position"" for Internet search services ",20150415 101111
EU files antitrust charges against Google ,20150415 100919
"Alcatel-Lucent shares drop 12%, falling further during morning trade ",20150415 091029
Crude oil trades 1.5% higher at $54.10 after IEA report,20150415 080412
Nokia rises 4.2% after $16.6 billion deal to take over Alcatel-Lucent ,20150415 071040
Alcatel-Lucent shares fall 7.4% after $16.6 billion buyout by Nokia ,20150415 070719
Intel price target lifted to $40 from $38 at RBC,20150415 070607
Intel lifted to outperform from sector perform at RBC,20150415 070607
Delta Air shares up 1.8% in premarket trade,20150415 113517
Delta says to reduce international capacity by 3% for winter to combat strong dollar,20150415 113444
Delta Air Q1 revenue $9.39 bln vs $8.92 bln; FactSet consensus $9.39 bln,20150415 113352
Delta Air Q1 adj. EPS 45 cents; FactSet consensus 44 cents,20150415 113257
Delta Air Q1 EPS 90 cents vs 25 cents,20150415 113239
Cummins downgraded to hold from buy at Stifel Nicolaus,20150415 112537
"Intel's stock rallies 3.7% premarket after analyst upgrades, Q1 results late Tuesday",20150415 111928
Intel stock price target raised to $37 from $34 at Wedbush,20150415 111839
Intel upgraded to outperform from neutral at Wedbush Securities,20150415 111818
Amazon share price target raised to $465 at Jefferies,20150415 111423
Treasury yields fall after disappointing manufacturing data,20150415 123356
Smith & Wesson sees Q4 sales $175 mln-$179 mln; FactSet consensus $164.3 mln,20150415 123354
Smith & Wesson sees Q4 adj. EPS 39 cents-41 cents; FactSet consensus 26 cents,20150415 123325
Smith & Wesson stock up 3.8% in premarket trade,20150415 123317
U.S. stock futures hold gains after Empire State index,20150415 123310
Nokia's U.S.-listed stock rises 1% in premarket trade on heavy volume,20150415 123005
April Empire State index well below forecast of 7.0,20150415 123001
Empire State index sinks to negative 1.2 in April,20150415 123001
"Bank of America's stock drops 0.5% premarket, erasing earlier gain of as much as 1.4%",20150415 122857
Builders FirstSource stock price target raised to $19 from $6 at Sterne Agee,20150415 121746
Draghi concludes ECB news conference ,20150415 134157
Dow up 100 points as U.S. stocks add to gains,20150415 133924
Charles Schwab shares fall 1%,20150415 133302
Precision Castparts shares drop 4.5%,20150415 133243
Intel shares climb 2.8%,20150415 133218
Tenet Healthcare shares gain 3%,20150415 133204
Draghi: Recovery depends on full implementation of ECB monetary policy stance,20150415 133202
Delta Air Lines shares rise 3.9%,20150415 133143
"Dow industrials gain 26 points, or 0.2%; Nasdaq up 0.3%",20150415 133037
U.S. stocks rise at the open; S&P 500 adds 0.2%,20150415 133016
May oil trades up at $54.82/bbl on Nymex vs. $54.07 before data,20150415 143148
Nymex oil prices gain more ground after EIA supply data,20150415 143148
Distillate supplies up 2 million barrels: EIA,20150415 143148
Gasoline supplies down 2.1 million barrels: EIA,20150415 143148
U.S. crude-oil stocks climb 1.3 million barrels: EIA,20150415 143148
Draghi concludes ECB news conference ,20150415 134157
Dow up 100 points as U.S. stocks add to gains,20150415 133924
Charles Schwab shares fall 1%,20150415 133302
Precision Castparts shares drop 4.5%,20150415 133243
Intel shares climb 2.8%,20150415 133218
May oil trades up at $54.82/bbl on Nymex vs. $54.07 before data,20150415 143148
Nymex oil prices gain more ground after EIA supply data,20150415 143148
Distillate supplies up 2 million barrels: EIA,20150415 143148
Gasoline supplies down 2.1 million barrels: EIA,20150415 143148
U.S. crude-oil stocks climb 1.3 million barrels: EIA,20150415 143148
Draghi concludes ECB news conference ,20150415 134157
Dow up 100 points as U.S. stocks add to gains,20150415 133924
Charles Schwab shares fall 1%,20150415 133302
Precision Castparts shares drop 4.5%,20150415 133243
Intel shares climb 2.8%,20150415 133218
May oil trades up at $54.82/bbl on Nymex vs. $54.07 before data,20150415 143148
Nymex oil prices gain more ground after EIA supply data,20150415 143148
Distillate supplies up 2 million barrels: EIA,20150415 143148
Gasoline supplies down 2.1 million barrels: EIA,20150415 143148
U.S. crude-oil stocks climb 1.3 million barrels: EIA,20150415 143148
Draghi concludes ECB news conference ,20150415 134157
Dow up 100 points as U.S. stocks add to gains,20150415 133924
Charles Schwab shares fall 1%,20150415 133302
Precision Castparts shares drop 4.5%,20150415 133243
Intel shares climb 2.8%,20150415 133218
