price,time_stamp (yyyymmdd hhmmss)
1.09447,20150324 000000
1.09454,20150323 230000
1.09634,20150323 220000
1.09445,20150323 210000
1.09313,20150323 200000
1.09156,20150323 190000
1.09273,20150323 180000
1.09256,20150323 170000
1.09209,20150323 160000
1.08988,20150323 150000
1.08947,20150323 140000
1.08633,20150323 130000
1.08134,20150323 120000
1.07906,20150323 110000
1.07902,20150323 100000
1.08033,20150323 090000
1.08156,20150323 080000
1.0817,20150323 070000
1.08087,20150323 060000
1.07873,20150323 050000
1.08061,20150323 040000
1.08116,20150323 030000
1.08249,20150323 020000
1.0839,20150323 010000
1.0868,20150323 000000
1.08255,20150320 230000
1.08091,20150320 220000
1.08112,20150320 210000
1.08452,20150320 200000
1.08407,20150320 190000
1.07902,20150320 180000
1.07755,20150320 170000
1.07985,20150320 160000
1.07505,20150320 150000
1.07132,20150320 140000
1.06919,20150320 130000
1.06735,20150320 120000
1.06869,20150320 110000
1.06695,20150320 100000
1.06683,20150320 090000
1.06881,20150320 080000
1.06805,20150320 070000
1.06833,20150320 060000
1.0688,20150320 050000
1.06946,20150320 040000
1.06694,20150320 030000
1.06685,20150320 020000
1.06688,20150320 010000
1.06565,20150320 000000
1.06591,20150319 230000
1.06441,20150319 220000
1.06391,20150319 210000
1.06344,20150319 200000
1.06337,20150319 190000
1.06205,20150319 180000
1.06523,20150319 170000
1.06564,20150319 160000
1.06622,20150319 150000
1.06994,20150319 140000
1.06928,20150319 130000
1.06889,20150319 120000
1.06573,20150319 110000
1.07099,20150319 100000
1.07859,20150319 090000
1.07719,20150319 080000
1.07635,20150319 070000
1.07693,20150319 060000
1.07936,20150319 050000
1.08462,20150319 040000
1.08856,20150319 030000
1.08482,20150319 020000
1.08232,20150319 010000
1.08272,20150319 000000
1.08632,20150318 230000
1.08367,20150318 220000
1.07386,20150318 210000
1.0652,20150318 200000
1.06561,20150318 190000
1.06422,20150318 180000
1.06092,20150318 170000
1.06106,20150318 160000
1.05927,20150318 150000
1.06006,20150318 140000
1.06252,20150318 130000
1.06098,20150318 120000
1.06089,20150318 110000
1.06129,20150318 100000
1.05936,20150318 090000
1.05799,20150318 080000
1.06011,20150318 070000
1.06058,20150318 060000
1.06076,20150318 050000
1.0609,20150318 040000
1.06058,20150318 030000
1.05946,20150318 020000
1.05934,20150318 010000
1.05972,20150318 000000
1.0597,20150317 230000
1.05895,20150317 220000
1.05992,20150317 210000
1.05958,20150317 200000
1.05952,20150317 190000
1.0604,20150317 180000
1.06182,20150317 170000
1.06365,20150317 160000
1.06158,20150317 150000
1.06153,20150317 140000
1.06145,20150317 130000
1.06076,20150317 120000
1.05869,20150317 110000
1.06124,20150317 100000
1.05826,20150317 090000
1.05576,20150317 080000
1.05673,20150317 070000
1.05628,20150317 060000
1.05707,20150317 050000
1.05595,20150317 040000
1.05626,20150317 030000
1.05715,20150317 020000
1.057,20150317 010000
1.05671,20150317 000000
1.05646,20150316 230000
1.05741,20150316 220000
1.05831,20150316 210000
1.05909,20150316 200000
1.06126,20150316 190000
1.05753,20150316 180000
1.05635,20150316 170000
1.05975,20150316 160000
1.05459,20150316 150000
1.05265,20150316 140000
1.05317,20150316 130000
1.05364,20150316 120000
1.0536,20150316 110000
1.05319,20150316 100000
1.05279,20150316 090000
1.0525,20150316 080000
1.05089,20150316 070000
1.05196,20150316 060000
1.05185,20150316 050000
1.05271,20150316 040000
1.04974,20150316 030000
1.04834,20150316 020000
1.04994,20150316 010000
1.04869,20150316 000000
