price,time_stamp (yyyymmdd hhmmss)
1.09451,20150324 000000
1.09458,20150323 230000
1.09634,20150323 220000
1.09442,20150323 210000
1.09314,20150323 200000
1.09153,20150323 190000
1.09272,20150323 180000
1.09261,20150323 170000
1.09213,20150323 160000
1.08989,20150323 150000
1.08947,20150323 140000
1.08629,20150323 130000
1.08132,20150323 120000
1.07903,20150323 110000
1.07901,20150323 100000
1.08033,20150323 090000
1.08154,20150323 080000
1.08167,20150323 070000
1.08085,20150323 060000
1.07873,20150323 050000
1.08061,20150323 040000
1.08114,20150323 030000
1.08251,20150323 020000
1.08389,20150323 010000
1.08683,20150323 000000
1.08257,20150320 230000
1.0809,20150320 220000
1.0811,20150320 210000
1.0845,20150320 200000
1.08406,20150320 190000
1.07901,20150320 180000
1.07754,20150320 170000
1.07985,20150320 160000
1.07505,20150320 150000
1.07137,20150320 140000
1.06923,20150320 130000
1.06737,20150320 120000
1.06868,20150320 110000
1.06696,20150320 100000
1.06688,20150320 090000
1.06884,20150320 080000
1.06803,20150320 070000
1.06835,20150320 060000
1.06883,20150320 050000
1.06944,20150320 040000
1.06695,20150320 030000
1.06687,20150320 020000
1.06688,20150320 010000
1.06566,20150320 000000
1.06591,20150319 230000
1.06439,20150319 220000
1.06393,20150319 210000
1.06347,20150319 200000
1.06336,20150319 190000
1.06209,20150319 180000
1.06524,20150319 170000
1.0656,20150319 160000
1.06622,20150319 150000
1.06994,20150319 140000
1.06926,20150319 130000
1.06887,20150319 120000
1.06574,20150319 110000
1.07101,20150319 100000
1.07858,20150319 090000
1.0772,20150319 080000
1.0763,20150319 070000
1.07696,20150319 060000
1.0794,20150319 050000
1.08459,20150319 040000
1.08858,20150319 030000
1.08486,20150319 020000
1.08231,20150319 010000
1.08273,20150319 000000
1.08631,20150318 230000
1.08364,20150318 220000
1.07383,20150318 210000
1.06523,20150318 200000
1.06565,20150318 190000
1.06424,20150318 180000
1.06095,20150318 170000
1.06111,20150318 160000
1.05926,20150318 150000
1.06003,20150318 140000
1.0625,20150318 130000
1.06098,20150318 120000
1.06093,20150318 110000
1.06131,20150318 100000
1.05937,20150318 090000
1.058,20150318 080000
1.0601,20150318 070000
1.06059,20150318 060000
1.06078,20150318 050000
1.06089,20150318 040000
1.06054,20150318 030000
1.05947,20150318 020000
1.05936,20150318 010000
1.05974,20150318 000000
1.05973,20150317 230000
1.05891,20150317 220000
1.0599,20150317 210000
1.05956,20150317 200000
1.0595,20150317 190000
1.06042,20150317 180000
1.06181,20150317 170000
1.06366,20150317 160000
1.06158,20150317 150000
1.06153,20150317 140000
1.06142,20150317 130000
1.06078,20150317 120000
1.05871,20150317 110000
1.06128,20150317 100000
